"STATION","NAME","DATE","TMAX","TMIN"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-01","4.2","-2.0"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-02","1.8","-2.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-03","8.7","1.6"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-04","6.8","4.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-05","6.2","4.8"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-06","5.5","-0.4"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-07","7.9","0.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-08","7.3","4.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-09","11.3","7.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-10","11.0","4.8"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-11","6.9","1.8"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-12","5.5","0.4"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-13","6.9","4.5"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-14","10.9","4.7"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-15","13.1","8.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-16","13.8","6.9"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-17","8.5","2.4"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-18","6.4","3.2"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-19","6.6","2.5"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-20","7.0","-0.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-21","6.0","-1.9"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-22","0.4","-3.2"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-23","4.6","0.2"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-24","1.5","0.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-25","2.0","0.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-26","2.9","0.6"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-27","8.0","2.5"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-28","7.5","2.7"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-29","6.8","2.5"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-30","9.4","4.6"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-01-31","14.6","9.4"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-01","13.0","8.7"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-02","14.2","6.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-03","12.5","7.0"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-04","7.0","2.9"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-05","8.7","0.5"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-06","4.6","-0.9"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-07","7.3","-1.7"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-08","6.0","-1.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-09","14.2","2.3"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-10","13.5","5.0"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-11","8.6","3.3"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-12","6.8","2.7"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-13","6.3","0.9"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-14","8.3","4.4"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-15","11.5","3.5"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-16","17.9","10.1"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-17","15.5","6.5"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-18","8.6","6.4"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-19","8.5","4.2"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-20","9.7","4.4"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-21","9.1","3.8"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-22","11.3","3.8"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-23","13.3","7.6"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-24","12.1","5.6"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-25","11.3","5.3"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-26","6.0","2.9"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-27","5.2","0.4"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-28","7.6","2.2"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-02-29","14.7","5.3"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-03-01","11.6","4.9"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-03-02","11.0","4.2"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-03-03","8.6","2.7"
"GME00122362","FRANKFURT MAIN WESTEND, GM","2020-03-04","9.7","2.3"
